Number.of.states,Impairment,Tolerance,inGroupDistance
6,0,0.05,0.335784764855626
6,0,0.1,0.328697082010772
6,0,0.2,0.16484224700963
6,0,0.3,0.0906708383800618
6,0.05,0.05,0.335787046526927
6,0.05,0.1,0.314053572742983
6,0.05,0.2,0.152376309055526
6,0.05,0.3,0.0712767928276119
6,0.1,0.05,0.191520223910776
6,0.1,0.1,0.202087377846023
6,0.1,0.2,7.12500849320392e-05
6,0.1,0.3,0.00011014623109033
6,0.2,0.05,0.000235986515720961
6,0.2,0.1,0.000237016488521511
6,0.2,0.2,0.000240650379629521
6,0.2,0.3,0.000258663847742163
6,0.3,0.05,0.000163900411965501
6,0.3,0.1,0.000157390087017505
6,0.3,0.2,0.000197974479154099
6,0.3,0.3,0.000275513562000144
10,0,0.05,0.379429150494868
10,0,0.1,0.257391191442508
10,0,0.2,0.0908800432302488
10,0,0.3,0.0651344229938084
10,0.05,0.05,0.288486147772761
10,0.05,0.1,0.171186261020206
10,0.05,0.2,0.00386940047781072
10,0.05,0.3,0.000130544539565002
10,0.1,0.05,0.000374525460431777
10,0.1,0.1,0.000404063153938858
10,0.1,0.2,0.000437576383409185
10,0.1,0.3,0.000440774218808012
10,0.2,0.05,0.000136015578465604
10,0.2,0.1,0.000134598351740639
10,0.2,0.2,0.000127954261007502
10,0.2,0.3,0.000143915926468401
10,0.3,0.05,0.000112918477825356
10,0.3,0.1,0.000123818902549532
10,0.3,0.2,0.000171448588927002
10,0.3,0.3,0.000277446404094992
50,0,0.05,0.323062258423294
50,0,0.1,0.116693462402656
50,0,0.2,0.0524515416060616
50,0,0.3,0.0312026392766084
50,0.05,0.05,0.00153303975864264
50,0.05,0.1,0.000239229553321059
50,0.05,0.2,0.000167941503744576
50,0.05,0.3,0.00017456562412042
50,0.1,0.05,9.25520920488801e-05
50,0.1,0.1,8.84603174462598e-05
50,0.1,0.2,7.72081739450027e-05
50,0.1,0.3,7.29301770307784e-05
50,0.2,0.05,2.42425171293136e-05
50,0.2,0.1,2.42066630991522e-05
50,0.2,0.2,2.56191402988174e-05
50,0.2,0.3,2.89070171903673e-05
50,0.3,0.05,0.00910974998109548
50,0.3,0.1,3.86363360991828e-05
50,0.3,0.2,8.20281375317724e-05
50,0.3,0.3,0.0150526316563896
